date,point.number,time,species.code,observer.initials.x,correct.id,verified,id.type
7/13/23,RC8,9:44,VEER,SB,unverifiable,NA,unverifiable
7/13/23,RC9,9:54,BTNW,SB,yes,TRUE,correct
7/13/23,RC9,9:54,RTHU,SB,unverifiable,NA,unverifiable
7/13/23,RC9,9:54,YRWA,SB,NA,TRUE,missed
7/20/23,RC1,10:34,BTNW,BDG,yes,TRUE,correct
7/20/23,RC1,10:34,GCKI,BDG,unverifiable,NA,unverifiable
7/20/23,RC1,10:34,HETH,BDG,yes,TRUE,correct
7/20/23,RC1,10:34,SWTH,BDG,unverifiable,NA,unverifiable
7/20/23,RC1,10:34,WTSP,BDG,NA,TRUE,missed
7/20/23,RC1,10:34,YRWA,BDG,yes,TRUE,correct
7/20/23,RC10,12:12,BTNW,BDG,yes,TRUE,correct
7/20/23,RC10,12:12,HETH,BDG,yes,TRUE,correct
7/20/23,RC10,12:12,REVI,BDG,yes,TRUE,correct
7/20/23,RC2,10:46,BTNW,BDG,yes,TRUE,correct
7/20/23,RC2,10:46,REVI,BDG,yes,TRUE,correct
7/20/23,RC2,10:46,YRWA,BDG,yes,TRUE,correct
7/20/23,RC3,10:57,BTNW,BDG,yes,TRUE,correct
7/20/23,RC3,10:57,BWHA,BDG,yes,TRUE,correct
7/20/23,RC3,10:57,NAWA,BDG,NA,TRUE,missed
7/20/23,RC3,10:57,REVI,BDG,yes,TRUE,correct
7/20/23,RC4,11:08,AGOL,BDG,NA,TRUE,missed
7/20/23,RC4,11:08,BTNW,BDG,yes,TRUE,correct
7/20/23,RC4,11:08,NAWA,BDG,yes,TRUE,correct
7/20/23,RC4,11:08,OVEN,BDG,yes,TRUE,correct
7/20/23,RC4,11:08,REVI,BDG,yes,TRUE,correct
7/20/23,RC5,11:17,BTNW,BDG,NA,TRUE,missed
7/20/23,RC5,11:17,CEDW,BDG,NA,TRUE,missed
7/20/23,RC5,11:17,HETH,BDG,yes,TRUE,correct
7/20/23,RC5,11:17,MAWA,BDG,yes,TRUE,correct
7/20/23,RC6,11:30,BTNW,BDG,yes,TRUE,correct
7/20/23,RC6,11:30,HETH,BDG,yes,TRUE,correct
7/20/23,RC6,11:30,MODO,BDG,yes,TRUE,correct
7/20/23,RC7,11:44,HETH,BDG,yes,TRUE,correct
7/20/23,RC8,11:52,BTNW,BDG,yes,TRUE,correct
7/20/23,RC8,11:52,HETH,BDG,yes,TRUE,correct
7/20/23,RC9,12:02,BTNW,BDG,yes,TRUE,correct
7/20/23,RC9,12:02,DEJU,BDG,NA,TRUE,missed
7/20/23,RC9,12:02,HETH,BDG,yes,TRUE,correct
7/20/23,RC9,12:02,MODO,BDG,yes,TRUE,correct
7/20/23,RC9,12:02,REVI,BDG,yes,TRUE,correct
7/20/23,RC9,12:02,YRWA,BDG,NA,TRUE,missed
7/26/23,RC1,9:55,BAWW,BDG,NA,TRUE,missed
7/26/23,RC1,9:55,BCCH,BDG,yes,TRUE,correct
7/26/23,RC1,9:55,BTNW,BDG,NA,TRUE,NA
7/26/23,RC1,9:55,OSPR,BDG,yes,TRUE,correct
7/26/23,RC1,9:55,RBNU,BDG,unverifiable,NA,unverifiable
7/26/23,RC1,9:55,WTSP,BDG,unverifiable,NA,unverifiable
7/26/23,RC1,9:55,YRWA,BDG,no,NA,incorrect
7/26/23,RC10,12:01,BTNW,BDG,yes,TRUE,correct
7/26/23,RC10,12:01,GCKI,BDG,yes,TRUE,correct
7/26/23,RC10,12:01,REVI,BDG,yes,TRUE,correct
7/26/23,RC2,10:11,AMCR,BDG,yes,TRUE,correct
7/26/23,RC2,10:11,HOFI,BDG,NA,TRUE,missed
7/26/23,RC2,10:11,OSPR,BDG,unverifiable,NA,unverifiable
7/26/23,RC2,10:11,REVI,BDG,unverifiable,NA,unverifiable
7/26/23,RC2,10:11,UNK,BDG,NA,NA,NA
7/26/23,RC3,10:24,AMCR,BDG,unverifiable,NA,unverifiable
7/26/23,RC3,10:24,BTNW,BDG,yes,TRUE,correct
7/26/23,RC3,10:24,REVI,BDG,yes,TRUE,correct
7/26/23,RC4,10:36,AMCR,BDG,unverifiable,NA,unverifiable
7/26/23,RC4,10:36,BTNW,BDG,yes,TRUE,correct
7/26/23,RC4,10:36,HETH,BDG,yes,TRUE,correct
7/26/23,RC4,10:36,NOCA,BDG,no,NA,incorrect
7/26/23,RC4,10:36,OVEN,BDG,yes,TRUE,correct
7/26/23,RC4,10:36,REVI,BDG,yes,TRUE,correct
7/26/23,RC4,10:36,warbler sp.,BDG,NA,TRUE,NA
7/26/23,RC4,10:36,WTSP,BDG,yes,TRUE,correct
7/26/23,RC5,10:47,BAWW,BDG,NA,TRUE,missed
7/26/23,RC5,10:47,BHVI,BDG,yes,TRUE,correct
7/26/23,RC5,10:47,CEDW,BDG,NA,TRUE,missed
7/26/23,RC5,10:47,HETH,BDG,yes,TRUE,correct
7/26/23,RC5,10:47,MAWA,BDG,no,NA,incorrect
7/26/23,RC5,10:47,NOFL,BDG,yes,TRUE,correct
7/26/23,RC6,11:05,CEDW,BDG,NA,TRUE,missed
7/26/23,RC6,11:05,HETH,BDG,yes,TRUE,correct
7/26/23,RC6,11:05,MODO,BDG,yes,TRUE,correct
7/26/23,RC6,11:05,UNK,BDG,NA,NA,NA
7/26/23,RC6,11:05,UNK,BDG,NA,NA,NA
7/26/23,RC6,11:05,WWCR,BDG,NA,TRUE,missed
7/26/23,RC7,11:19,HETH,BDG,unverifiable,NA,unverifiable
7/26/23,RC7,11:19,UNK,BDG,NA,NA,NA
7/26/23,RC7,11:19,warbler sp.,BDG,NA,TRUE,NA
7/26/23,RC7,11:19,WTSP,BDG,unverifiable,NA,unverifiable
7/26/23,RC8,11:30,BCCH,BDG,unverifiable,NA,unverifiable
7/26/23,RC8,11:30,none,BDG,NA,TRUE,NA
7/26/23,RC8,11:30,WTSP,BDG,unverifiable,NA,unverifiable
7/26/23,RC9,12:14,BHVI,BDG,no,NA,incorrect
7/26/23,RC9,12:14,BTNW,BDG,yes,TRUE,correct
7/26/23,RC9,12:14,RBNU,BDG,unverifiable,NA,unverifiable
7/26/23,RC9,12:14,REVI,BDG,NA,TRUE,NA
8/3/23,RC1,12:11,AMCR,EDH,unverifiable,NA,unverifiable
8/3/23,RC1,12:11,CEDW,EDH,yes,TRUE,correct
8/3/23,RC1,12:11,REVI,EDH,unverifiable,NA,unverifiable
8/3/23,RC10,10:41,REVI,BDG,yes,TRUE,correct
8/3/23,RC2,12:22,BCCH,EDH,yes,TRUE,correct
8/3/23,RC2,12:22,GCKI,EDH,NA,TRUE,missed
8/3/23,RC2,12:22,RBNU,EDH,unverifiable,NA,unverifiable
8/3/23,RC2,12:22,UNK,EDH,NA,NA,NA
8/3/23,RC2,12:22,UNK,EDH,NA,NA,NA
8/3/23,RC2,12:22,WTSP,EDH,unverifiable,NA,unverifiable
8/3/23,RC3,12:12,BTNW,BDG,yes,TRUE,correct
8/3/23,RC3,12:12,REVI,BDG,yes,TRUE,correct
8/3/23,RC4,12:02,none,BDG,NA,TRUE,NA
8/3/23,RC5,11:47,MODO,BDG,unverifiable,NA,unverifiable
8/3/23,RC5,11:47,none,BDG,NA,TRUE,NA
8/3/23,RC5,11:47,REVI,BDG,unverifiable,NA,unverifiable
8/3/23,RC6,11:36,BTNW,BDG,yes,TRUE,correct
8/3/23,RC7,11:25,AMCR,BDG,unverifiable,NA,unverifiable
8/3/23,RC7,11:25,none,BDG,NA,TRUE,NA
8/3/23,RC8,11:12,BCCH,BDG,yes,TRUE,correct
8/3/23,RC8,11:12,REVI,BDG,yes,TRUE,correct
8/3/23,RC9,10:52,BTNW,BDG,yes,TRUE,correct
8/7/23,RC1,10:15,BHVI,BDG,NA,TRUE,NA
8/7/23,RC1,10:15,BWHA,BDG,yes,TRUE,correct
8/7/23,RC1,10:15,MODO,BDG,unverifiable,NA,unverifiable
8/7/23,RC1,10:15,REVI,BDG,no,NA,incorrect
8/7/23,RC10,8:30,HETH,BDG,yes,TRUE,correct
8/7/23,RC10,8:30,NOPA,BDG,yes,TRUE,correct
8/7/23,RC10,8:30,REVI,BDG,yes,TRUE,correct
8/7/23,RC10,8:30,UNK,BDG,NA,NA,NA
8/7/23,RC10,8:30,warbler sp.,BDG,NA,TRUE,NA
8/7/23,RC2,10:05,BHVI,BDG,NA,TRUE,NA
8/7/23,RC2,10:05,MODO,BDG,unverifiable,NA,unverifiable
8/7/23,RC2,10:05,RECR,BDG,NA,TRUE,missed
8/7/23,RC2,10:05,REVI,BDG,no,NA,incorrect
8/7/23,RC2,10:05,UNK,BDG,NA,NA,NA
8/7/23,RC3,9:53,BHVI,BDG,NA,TRUE,missed
8/7/23,RC3,9:53,GCKI,BDG,NA,TRUE,missed
8/7/23,RC3,9:53,MODO,BDG,yes,TRUE,correct
8/7/23,RC3,9:53,RBNU,BDG,unverifiable,NA,unverifiable
8/7/23,RC3,9:53,REVI,BDG,yes,TRUE,correct
8/7/23,RC3,9:53,UNK,BDG,NA,NA,NA
8/7/23,RC4,9:36,BCCH,BDG,yes,TRUE,correct
8/7/23,RC4,9:36,MODO,BDG,unverifiable,NA,unverifiable
8/7/23,RC4,9:36,RBNU,BDG,yes,TRUE,correct
8/7/23,RC4,9:36,REVI,BDG,yes,TRUE,correct
8/7/23,RC4,9:36,YRWA,BDG,NA,TRUE,missed
8/7/23,RC5,9:27,AMCR,BDG,unverifiable,NA,unverifiable
8/7/23,RC5,9:27,AMRO,BDG,NA,TRUE,missed
8/7/23,RC5,9:27,NOFL,BDG,no,NA,incorrect
8/7/23,RC5,9:27,REVI,BDG,yes,TRUE,correct
8/7/23,RC5,9:27,UNK,BDG,NA,NA,NA
8/7/23,RC6,9:14,AMCR,BDG,yes,TRUE,correct
8/7/23,RC6,9:14,bird sp.,BDG,NA,TRUE,NA
8/7/23,RC6,9:14,CEDW,BDG,yes,TRUE,correct
8/7/23,RC7,9:03,BCCH,BDG,yes,TRUE,correct
8/7/23,RC7,9:03,BLJA,BDG,yes,TRUE,correct
8/7/23,RC7,9:03,CEDW,BDG,NA,TRUE,NA
8/7/23,RC7,9:03,GCKI,BDG,no,NA,incorrect
8/7/23,RC7,9:03,HETH,BDG,yes,TRUE,correct
8/7/23,RC7,9:03,WTSP,BDG,yes,TRUE,correct
8/7/23,RC8,8:53,BLJA,BDG,unverifiable,NA,unverifiable
8/7/23,RC8,8:53,PUFI,BDG,NA,TRUE,missed
8/7/23,RC8,8:53,REVI,BDG,yes,TRUE,correct
8/7/23,RC9,8:42,HETH,BDG,yes,TRUE,correct
8/7/23,RC9,8:42,NOFL,BDG,yes,TRUE,correct
8/7/23,RC9,8:42,REVI,BDG,yes,TRUE,correct
8/7/23,RC9,8:42,warbler sp.,BDG,NA,TRUE,NA
8/16/23,RC1,6:43,AMCR,BDG,unverifiable,NA,unverifiable
8/16/23,RC1,6:43,none,BDG,NA,TRUE,NA
8/16/23,RC1,6:43,RBNU,BDG,unverifiable,NA,unverifiable
8/16/23,RC1,6:43,REVI,BDG,unverifiable,NA,unverifiable
8/16/23,RC10,8:27,BCCH,BDG,yes,TRUE,correct
8/16/23,RC10,8:27,CEDW,BDG,yes,TRUE,correct
8/16/23,RC10,8:27,NOFL,BDG,unverifiable,NA,unverifiable
8/16/23,RC10,8:27,REVI,BDG,yes,TRUE,correct
8/16/23,RC10,8:27,warbler sp.,BDG,NA,TRUE,NA
8/16/23,RC2,6:50,AMCR,BDG,unverifiable,NA,unverifiable
8/16/23,RC2,6:50,BRCR,BDG,NA,TRUE,NA
8/16/23,RC2,6:50,CEDW,BDG,no,NA,incorrect
8/16/23,RC2,6:50,HERG,BDG,unverifiable,NA,unverifiable
8/16/23,RC2,6:50,RBNU,BDG,yes,TRUE,correct
8/16/23,RC3,7:02,AMRO,BDG,NA,TRUE,missed
8/16/23,RC3,7:02,BCCH,BDG,unverifiable,NA,unverifiable
8/16/23,RC3,7:02,CEDW,BDG,no,NA,incorrect
8/16/23,RC3,7:02,HETH,BDG,NA,TRUE,missed
8/16/23,RC3,7:02,REVI,BDG,yes,TRUE,correct
8/16/23,RC3,7:02,warbler sp.,BDG,NA,TRUE,NA
8/16/23,RC4,7:20,AMRO,BDG,yes,TRUE,correct
8/16/23,RC4,7:20,BCCH,BDG,yes,TRUE,correct
8/16/23,RC4,7:20,bird sp.,BDG,NA,TRUE,NA
8/16/23,RC4,7:20,DEJU,BDG,unverifiable,NA,unverifiable
8/16/23,RC5,7:27,AMRO,BDG,yes,TRUE,correct
8/16/23,RC5,7:27,BCCH,BDG,yes,TRUE,correct
8/16/23,RC5,7:27,bird sp.,BDG,NA,TRUE,NA
8/16/23,RC5,7:27,EAKI,BDG,yes,TRUE,correct
8/16/23,RC5,7:27,HETH,BDG,NA,TRUE,missed
8/16/23,RC5,7:27,YRWA,BDG,NA,TRUE,missed
8/16/23,RC6,7:42,AMRO,BDG,yes,TRUE,correct
8/16/23,RC6,7:42,DEJU,BDG,no,NA,incorrect
8/16/23,RC6,7:42,warbler sp.,BDG,NA,TRUE,NA
8/16/23,RC7,7:54,BCCH,BDG,no,NA,incorrect
8/16/23,RC7,7:54,DEJU,BDG,unverifiable,NA,unverifiable
8/16/23,RC7,7:54,GRCA,BDG,unverifiable,NA,unverifiable
8/16/23,RC7,7:54,PIWA,BDG,unverifiable,NA,unverifiable
8/16/23,RC7,7:54,warbler sp.,BDG,NA,TRUE,NA
8/16/23,RC8,8:04,AGOL,BDG,NA,TRUE,missed
8/16/23,RC8,8:04,DEJU,BDG,unverifiable,NA,unverifiable
8/16/23,RC8,8:04,MODO,BDG,unverifiable,NA,unverifiable
8/16/23,RC8,8:04,REVI,BDG,yes,TRUE,correct
8/16/23,RC8,8:04,UNK,BDG,NA,NA,NA
8/16/23,RC9,8:17,DEJU,BDG,yes,TRUE,correct
8/24/23,RC1,6:53,AMCR,EDH,unverifiable,NA,unverifiable
8/24/23,RC1,6:53,HETH,EDH,unverifiable,NA,unverifiable
8/24/23,RC1,6:53,PUFI,EDH,NA,TRUE,missed
8/24/23,RC10,8:44,AMRO,EDH,NA,TRUE,missed
8/24/23,RC10,8:44,CEDW,EDH,yes,TRUE,correct
8/24/23,RC10,8:44,GCKI,EDH,no,NA,incorrect
8/24/23,RC10,8:44,MODO,EDH,unverifiable,NA,unverifiable
8/24/23,RC10,8:44,UNK,EDH,NA,NA,NA
8/24/23,RC10,8:44,UNK,EDH,NA,NA,NA
8/24/23,RC10,8:44,warbler sp.,EDH,NA,TRUE,NA
8/24/23,RC2,7:05,AMCR,EDH,yes,TRUE,correct
8/24/23,RC2,7:05,GCKI,EDH,yes,TRUE,correct
8/24/23,RC2,7:05,UNK,EDH,NA,NA,NA
8/24/23,RC2,7:05,warbler sp.,EDH,NA,TRUE,NA
8/24/23,RC2,7:05,YRWA,EDH,NA,TRUE,missed
8/24/23,RC3,7:17,AMCR,EDH,yes,TRUE,correct
8/24/23,RC3,7:17,CORA,EDH,NA,TRUE,missed
8/24/23,RC3,7:17,MODO,EDH,unverifiable,NA,unverifiable
8/24/23,RC3,7:17,UNK,EDH,NA,NA,NA
8/24/23,RC4,7:28,REVI,EDH,yes,TRUE,correct
8/24/23,RC4,7:28,SWTH,EDH,NA,TRUE,missed
8/24/23,RC4,7:28,UNK,EDH,NA,NA,NA
8/24/23,RC4,7:28,UNK,EDH,NA,NA,NA
8/24/23,RC4,7:28,UNK,EDH,NA,NA,NA
8/24/23,RC4,7:28,warbler sp.,EDH,NA,TRUE,NA
8/24/23,RC5,7:41,AMCR,EDH,yes,TRUE,correct
8/24/23,RC5,7:41,bird sp.,EDH,NA,TRUE,NA
8/24/23,RC5,7:41,DOWO,EDH,NA,TRUE,missed
8/24/23,RC5,7:41,HAWO,EDH,yes,TRUE,correct
8/24/23,RC5,7:41,LEFL,EDH,NA,TRUE,missed
8/24/23,RC5,7:41,MODO,EDH,unverifiable,NA,unverifiable
8/24/23,RC5,7:41,UNK,EDH,NA,NA,NA
8/24/23,RC5,7:41,warbler sp.,EDH,NA,TRUE,NA
8/24/23,RC6,7:56,AMCR,EDH,yes,TRUE,correct
8/24/23,RC6,7:56,AMRO,EDH,yes,TRUE,correct
8/24/23,RC6,7:56,BAWW,EDH,yes,TRUE,correct
8/24/23,RC6,7:56,bird sp.,EDH,NA,TRUE,NA
8/24/23,RC6,7:56,MODO,EDH,unverifiable,NA,unverifiable
8/24/23,RC7,8:11,MODO,EDH,unverifiable,NA,unverifiable
8/24/23,RC7,8:11,UNK,EDH,NA,NA,NA
8/24/23,RC7,8:11,UNK,EDH,NA,NA,NA
8/24/23,RC7,8:11,warbler sp.,EDH,NA,TRUE,NA
8/24/23,RC8,8:23,AMCR,EDH,unverifiable,NA,unverifiable
8/24/23,RC8,8:23,NOFL,EDH,NA,TRUE,missed
8/24/23,RC8,8:23,REVI,EDH,yes,TRUE,correct
8/24/23,RC8,8:23,UNK,EDH,NA,NA,NA
8/24/23,RC8,8:23,UNK,EDH,NA,NA,NA
8/24/23,RC8,8:23,warbler sp.,EDH,NA,TRUE,NA
8/24/23,RC9,8:34,AMCR,EDH,unverifiable,NA,unverifiable
8/24/23,RC9,8:34,MODO,EDH,yes,TRUE,correct
8/24/23,RC9,8:34,REVI,EDH,yes,TRUE,correct
9/3/23,RC1,7:40,AGOL,BDG,yes,TRUE,correct
9/3/23,RC1,7:40,BLJA,BDG,yes,TRUE,correct
9/3/23,RC1,7:40,BRCR,BDG,NA,TRUE,NA
9/3/23,RC1,7:40,GCKI,BDG,no,NA,incorrect
9/3/23,RC1,7:40,RBNU,BDG,yes,TRUE,correct
9/3/23,RC10,9:32,bird sp.,BDG,NA,TRUE,NA
9/3/23,RC10,9:32,RBNU,BDG,yes,TRUE,correct
9/3/23,RC2,7:52,AGOL,BDG,yes,TRUE,correct
9/3/23,RC2,7:52,BCCH,BDG,yes,TRUE,correct
9/3/23,RC2,7:52,BTNW,BDG,yes,TRUE,correct
9/3/23,RC2,7:52,REVI,BDG,unverifiable,NA,unverifiable
9/3/23,RC3,8:07,BLJA,BDG,unverifiable,NA,unverifiable
9/3/23,RC3,8:07,GCKI,BDG,unverifiable,NA,unverifiable
9/3/23,RC3,8:07,none,BDG,NA,TRUE,NA
9/3/23,RC3,8:07,REVI,BDG,unverifiable,NA,unverifiable
9/3/23,RC4,8:21,BAWW,BDG,yes,TRUE,correct
9/3/23,RC4,8:21,BCCH,BDG,yes,TRUE,correct
9/3/23,RC4,8:21,BLJA,BDG,yes,TRUE,correct
9/3/23,RC4,8:21,HAWO,BDG,NA,TRUE,missed
9/3/23,RC4,8:21,MAWA,BDG,unverifiable,NA,unverifiable
9/3/23,RC5,8:33,AGOL,BDG,unverifiable,NA,unverifiable
9/3/23,RC5,8:33,BLJA,BDG,unverifiable,NA,unverifiable
9/3/23,RC5,8:33,NOFL,BDG,yes,TRUE,correct
9/3/23,RC6,8:45,BAWW,BDG,NA,TRUE,missed
9/3/23,RC6,8:45,BLJA,BDG,unverifiable,NA,unverifiable
9/3/23,RC7,8:57,BCCH,BDG,unverifiable,NA,unverifiable
9/3/23,RC7,8:57,BRCR,BDG,NA,TRUE,missed
9/3/23,RC7,8:57,CEDW,BDG,unverifiable,NA,unverifiable
9/3/23,RC7,8:57,CORA,BDG,unverifiable,NA,unverifiable
9/3/23,RC7,8:57,NAWA,BDG,yes,TRUE,correct
9/3/23,RC7,8:57,warbler sp.,BDG,NA,TRUE,NA
9/3/23,RC8,9:09,BLJA,BDG,yes,TRUE,correct
9/3/23,RC8,9:09,RBNU,BDG,unverifiable,NA,unverifiable
9/3/23,RC8,9:09,REVI,BDG,yes,TRUE,correct
9/3/23,RC9,9:21,none,BDG,NA,TRUE,NA
9/3/23,RC9,9:21,RBNU,BDG,unverifiable,NA,unverifiable
